docnumber,customerref_value,client_name,txndate,fees_billed,costs_billed,write_down_amount,write_off_amount,total_invoice,payment_received,payment_date,outstanding_balance,total_amt,line_amount
INV-2024-0001,M-2024-0007,Allerton Pharmaceuticals LLC,2024-02-05,103004.0,630,10470.01,0.0,93163.99,93163.99,2024-03-15,0.0,93163.99,93163.99
INV-2024-0002,M-2024-0010,Mariposa Vineyards LLC,2024-02-05,12499.0,30,1526.87,0.0,11002.13,11002.13,2024-03-16,0.0,11002.13,11002.13
INV-2024-0003,M-2024-0001,TechVista Industries Inc.,2024-02-09,46096.5,120,4243.73,0.0,41972.77,41972.77,2024-04-04,0.0,41972.77,41972.77
INV-2024-0004,M-2024-0003,Crestwood Capital Partners LP,2024-02-12,98222.5,950,12568.86,0.0,86603.64,86603.64,2024-03-20,0.0,86603.64,86603.64
INV-2024-0005,M-2024-0004,Harrington Aerospace Inc.,2024-02-12,11955.0,370,2978.22,0.0,9346.78,4025.39,2024-03-10,5321.39,9346.78,9346.78
INV-2024-0006,M-2024-0008,Cardinal Resources Inc.,2024-02-12,88231.5,740,3855.19,0.0,85116.31,85116.31,2024-04-03,0.0,85116.31,85116.31
INV-2024-0007,M-2024-0021,Greystone Ventures LLC,2024-02-12,304250.0,60,5830.87,0.0,298479.13,298479.13,2024-03-18,0.0,298479.13,298479.13
INV-2024-0008,M-2024-0001,TechVista Industries Inc.,2024-03-06,31516.5,130,2901.47,0.0,28745.03,28745.03,2024-04-21,0.0,28745.03,28745.03
INV-2024-0009,M-2024-0004,Harrington Aerospace Inc.,2024-03-06,17955.0,80,4472.94,0.0,13562.06,13562.06,2024-03-19,0.0,13562.06,13562.06
INV-2024-0010,M-2024-0007,Allerton Pharmaceuticals LLC,2024-03-11,100290.0,0,10194.14,0.0,90095.86,90095.86,2024-03-18,0.0,90095.86,90095.86
INV-2024-0011,M-2024-0002,Pendleton Holdings LLC,2024-03-12,30346.0,460,1552.71,0.0,29253.29,29253.29,2024-05-18,0.0,29253.29,29253.29
INV-2024-0012,M-2024-0003,Crestwood Capital Partners LP,2024-03-12,72938.5,480,9333.44,8284.63,55800.43,55800.43,2024-04-29,0.0,55800.43,55800.43
INV-2024-0013,M-2024-0010,Mariposa Vineyards LLC,2024-03-12,15877.5,100,1939.58,0.0,14037.92,14037.92,2024-04-22,0.0,14037.92,14037.92
INV-2024-0014,M-2024-0008,Cardinal Resources Inc.,2024-03-13,68564.5,30,2995.86,0.0,65598.64,65598.64,2024-03-20,0.0,65598.64,65598.64
INV-2024-0015,M-2024-0013,Pinnacle Therapeutics Inc.,2024-03-13,5450.0,270,338.61,502.84,4878.55,4878.55,2024-05-01,0.0,4878.55,4878.55
INV-2024-0016,M-2024-0021,Greystone Ventures LLC,2024-03-13,292422.5,90,5604.2,0.0,286908.3,286908.3,2024-05-17,0.0,286908.3,286908.3
INV-2024-0017,M-2024-0021,Greystone Ventures LLC,2024-04-04,85032.5,60,1629.62,0.0,83462.88,83462.88,2024-06-19,0.0,83462.88,83462.88
INV-2024-0018,M-2024-0002,Pendleton Holdings LLC,2024-04-05,28957.5,400,1481.66,0.0,27875.84,0.0,,27875.84,27875.84,27875.84
INV-2024-0019,M-2024-0003,Crestwood Capital Partners LP,2024-04-05,60991.0,290,7804.6,0.0,53476.4,53476.4,2024-04-21,0.0,53476.4,53476.4
INV-2024-0020,M-2024-0006,Vertex Technologies Inc.,2024-04-05,6640.0,150,168.15,0.0,6621.85,6621.85,2024-05-09,0.0,6621.85,6621.85
INV-2024-0021,M-2024-0007,Allerton Pharmaceuticals LLC,2024-04-05,61720.5,530,6273.68,0.0,55976.82,55976.82,2024-05-15,0.0,55976.82,55976.82
INV-2024-0022,M-2024-0008,Cardinal Resources Inc.,2024-04-05,88937.5,200,3886.04,0.0,85251.46,43922.58,2024-06-03,41328.88,85251.46,85251.46
INV-2024-0023,M-2024-0010,Mariposa Vineyards LLC,2024-04-05,12717.5,10,1553.56,0.0,11173.94,4876.01,2024-06-03,6297.93,11173.94,11173.94
INV-2024-0024,M-2024-0013,Pinnacle Therapeutics Inc.,2024-04-05,18504.0,280,1149.66,0.0,17634.34,8301.17,2024-05-19,9333.17,17634.34,17634.34
INV-2024-0025,M-2024-0001,TechVista Industries Inc.,2024-04-08,40621.0,30,3739.65,0.0,36911.35,36911.35,2024-05-25,0.0,36911.35,36911.35
INV-2024-0026,M-2024-0015,Garrison Industries LLC,2024-04-10,2682.5,290,176.56,0.0,2795.94,2795.94,2024-06-27,0.0,2795.94,2795.94
INV-2024-0027,M-2024-0026,Riverstone Partners LLC,2024-04-10,238070.0,190,21941.23,0.0,216318.77,216318.77,2024-05-02,0.0,216318.77,216318.77
INV-2024-0028,M-2024-0004,Harrington Aerospace Inc.,2024-04-11,29820.5,200,7428.87,0.0,22591.63,14628.82,2024-05-31,7962.81,22591.63,22591.63
